fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
0,0.1,scale,64,16,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.25,0.5625,0.16012815380508713,2,6,1,7
1,0.1,scale,64,16,0.5625,0.5454545454545454,0.75,0.631578947368421,0.375,0.5625,0.13483997249264842,3,5,2,6
2,0.1,scale,64,16,0.75,0.7,0.875,0.7777777777777778,0.625,0.75,0.5163977794943222,5,3,1,7
3,0.1,scale,64,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
4,0.1,scale,64,16,0.625,1.0,0.25,0.4,1.0,0.625,0.3779644730092272,8,0,6,2
0,0.1,auto,64,16,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.25,0.5625,0.16012815380508713,2,6,1,7
1,0.1,auto,64,16,0.5625,0.5454545454545454,0.75,0.631578947368421,0.375,0.5625,0.13483997249264842,3,5,2,6
2,0.1,auto,64,16,0.75,0.7,0.875,0.7777777777777778,0.625,0.75,0.5163977794943222,5,3,1,7
3,0.1,auto,64,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
4,0.1,auto,64,16,0.625,1.0,0.25,0.4,1.0,0.625,0.3779644730092272,8,0,6,2
0,0.1,0.01,64,16,0.8125,0.7272727272727273,1.0,0.8421052631578947,0.625,0.8125,0.674199862463242,5,3,0,8
1,0.1,0.01,64,16,0.75,0.8333333333333334,0.625,0.7142857142857143,0.875,0.75,0.5163977794943222,7,1,3,5
2,0.1,0.01,64,16,0.75,1.0,0.5,0.6666666666666666,1.0,0.75,0.5773502691896258,8,0,4,4
3,0.1,0.01,64,16,0.375,0.25,0.125,0.16666666666666666,0.625,0.375,-0.2886751345948129,5,3,7,1
4,0.1,0.01,64,16,0.4375,0.3333333333333333,0.125,0.18181818181818182,0.75,0.4375,-0.16012815380508713,6,2,7,1
0,1.0,scale,64,16,0.5,0.5,0.75,0.6,0.25,0.5,0.0,2,6,2,6
1,1.0,scale,64,16,0.625,0.6666666666666666,0.5,0.5714285714285714,0.75,0.625,0.2581988897471611,6,2,4,4
2,1.0,scale,64,16,0.75,0.7,0.875,0.7777777777777778,0.625,0.75,0.5163977794943222,5,3,1,7
3,1.0,scale,64,16,0.4375,0.4444444444444444,0.5,0.47058823529411764,0.375,0.4375,-0.1259881576697424,3,5,4,4
4,1.0,scale,64,16,0.625,1.0,0.25,0.4,1.0,0.625,0.3779644730092272,8,0,6,2
0,1.0,auto,64,16,0.5,0.5,0.75,0.6,0.25,0.5,0.0,2,6,2,6
1,1.0,auto,64,16,0.625,0.6666666666666666,0.5,0.5714285714285714,0.75,0.625,0.2581988897471611,6,2,4,4
2,1.0,auto,64,16,0.75,0.7,0.875,0.7777777777777778,0.625,0.75,0.5163977794943222,5,3,1,7
3,1.0,auto,64,16,0.4375,0.4444444444444444,0.5,0.47058823529411764,0.375,0.4375,-0.1259881576697424,3,5,4,4
4,1.0,auto,64,16,0.625,1.0,0.25,0.4,1.0,0.625,0.3779644730092272,8,0,6,2
0,1.0,0.01,64,16,0.8125,0.7272727272727273,1.0,0.8421052631578947,0.625,0.8125,0.674199862463242,5,3,0,8
1,1.0,0.01,64,16,0.8125,0.8571428571428571,0.75,0.8,0.875,0.8125,0.629940788348712,7,1,2,6
2,1.0,0.01,64,16,0.75,1.0,0.5,0.6666666666666666,1.0,0.75,0.5773502691896258,8,0,4,4
3,1.0,0.01,64,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
4,1.0,0.01,64,16,0.4375,0.4,0.25,0.3076923076923077,0.625,0.4375,-0.13483997249264842,5,3,6,2
0,10.0,scale,64,16,0.5625,0.5454545454545454,0.75,0.631578947368421,0.375,0.5625,0.13483997249264842,3,5,2,6
1,10.0,scale,64,16,0.5625,0.6666666666666666,0.25,0.36363636363636365,0.875,0.5625,0.16012815380508713,7,1,6,2
2,10.0,scale,64,16,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.625,0.6875,0.3779644730092272,5,3,2,6
3,10.0,scale,64,16,0.5625,0.5555555555555556,0.625,0.5882352941176471,0.5,0.5625,0.1259881576697424,4,4,3,5
4,10.0,scale,64,16,0.375,0.25,0.125,0.16666666666666666,0.625,0.375,-0.2886751345948129,5,3,7,1
0,10.0,auto,64,16,0.5625,0.5454545454545454,0.75,0.631578947368421,0.375,0.5625,0.13483997249264842,3,5,2,6
1,10.0,auto,64,16,0.5625,0.6666666666666666,0.25,0.36363636363636365,0.875,0.5625,0.16012815380508713,7,1,6,2
2,10.0,auto,64,16,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.625,0.6875,0.3779644730092272,5,3,2,6
3,10.0,auto,64,16,0.5625,0.5555555555555556,0.625,0.5882352941176471,0.5,0.5625,0.1259881576697424,4,4,3,5
4,10.0,auto,64,16,0.375,0.25,0.125,0.16666666666666666,0.625,0.375,-0.2886751345948129,5,3,7,1
0,10.0,0.01,64,16,0.6875,0.6153846153846154,1.0,0.7619047619047619,0.375,0.6875,0.48038446141526137,3,5,0,8
1,10.0,0.01,64,16,0.75,0.75,0.75,0.75,0.75,0.75,0.5,6,2,2,6
2,10.0,0.01,64,16,0.875,0.875,0.875,0.875,0.875,0.875,0.75,7,1,1,7
3,10.0,0.01,64,16,0.5625,0.5714285714285714,0.5,0.5333333333333333,0.625,0.5625,0.1259881576697424,5,3,4,4
4,10.0,0.01,64,16,0.5,0.5,0.25,0.3333333333333333,0.75,0.5,0.0,6,2,6,2
