map,C,shots,repeats,kernel_mae_mean,kernel_mae_std,f1_mean,f1_std_across_repeats,balanced_accuracy_mean,accuracy_mean
custom_water_domain_r2_reupload_robust,1.0,256,20,0.0072361839139739245,0.00012113939060874115,0.6473294339819107,0.018618763033400217,0.6506250000000001,0.6506250000000001
custom_water_domain_r2_reupload_robust,1.0,1024,20,0.003633559269313149,6.452780253620653e-05,0.6510733385121931,0.018080223930574367,0.6537499999999999,0.6537499999999999
custom_water_domain_r2_reupload_robust,1.0,4096,20,0.001805670297976208,2.6586274532114885e-05,0.6437491453335107,0.016930435457977188,0.6487499999999999,0.6487499999999999
pauli_xz_xxzz_linear_r1_robust,0.1,256,20,0.013880525844605165,0.0002024732166809981,0.6582847694101565,0.01380067043068393,0.686875,0.686875
pauli_xz_xxzz_linear_r1_robust,0.1,1024,20,0.006939193715051048,6.101855202829794e-05,0.6616144639674053,0.011046159438737536,0.68625,0.68625
pauli_xz_xxzz_linear_r1_robust,0.1,4096,20,0.0034751112866972514,5.2411886112503736e-05,0.6668658008658009,0.009354292008807106,0.6931249999999999,0.6931249999999999
custom_water_domain_r1_robust,1.0,256,20,0.010280823211447007,0.0001668916696039219,0.6550430591939881,0.02570093057407511,0.6643749999999999,0.6643749999999999
custom_water_domain_r1_robust,1.0,1024,20,0.005124201059636903,8.26822511863622e-05,0.6539550506253293,0.0120087561816765,0.66125,0.66125
custom_water_domain_r1_robust,1.0,4096,20,0.0025674986115056275,4.337086231470309e-05,0.6573239984989211,0.007094842296587189,0.6675,0.6675
pauli_z_zz_linear_r1_robust,1.0,256,20,0.009179139748856025,0.00013264300360349912,0.6382551930353788,0.011744966031006662,0.639375,0.639375
pauli_z_zz_linear_r1_robust,1.0,1024,20,0.004548384430021317,7.15487452007605e-05,0.6396751342912335,0.009782849964029474,0.6387499999999999,0.6387499999999999
pauli_z_zz_linear_r1_robust,1.0,4096,20,0.0022955682689546125,2.5571551892303023e-05,0.6371651186790508,0.009470949929930236,0.6362499999999999,0.6362499999999999
pauli_z_zz_ring_r1_robust,1.0,256,20,0.00939001497234706,0.00012733573448567685,0.6440067306274738,0.019707174062268552,0.6443749999999999,0.6443749999999999
pauli_z_zz_ring_r1_robust,1.0,1024,20,0.004689239406646816,5.576418567808088e-05,0.6406651186790506,0.010481985859045329,0.640625,0.640625
pauli_z_zz_ring_r1_robust,1.0,4096,20,0.002342287858832193,3.982536618807111e-05,0.6455287237702099,0.010611613386102408,0.6437499999999999,0.6437499999999999
zz_linear_r1_robust,1.0,256,20,0.009138950186899255,0.00015616743154067534,0.6391372549019609,0.014553181711995777,0.641875,0.641875
zz_linear_r1_robust,1.0,1024,20,0.004579743553369974,7.230456708510335e-05,0.6376090868196133,0.009343124370309597,0.6368749999999999,0.6368749999999999
zz_linear_r1_robust,1.0,4096,20,0.0022933628505208197,3.305590731149857e-05,0.6387791537667701,0.010799450352967942,0.6381249999999998,0.6381249999999998
zz_ring_r1_robust,1.0,256,20,0.009400159039988944,0.00013516502078570025,0.6504565126136335,0.017717624193180674,0.651875,0.651875
zz_ring_r1_robust,1.0,1024,20,0.0047100284384851135,6.873052041837688e-05,0.6474102167182664,0.01283987403469647,0.6481250000000001,0.6481250000000001
zz_ring_r1_robust,1.0,4096,20,0.0023527429288485507,3.517823238824809e-05,0.6409910560715515,0.012907026045839109,0.6400000000000001,0.6400000000000001
zz_full_r1_robust,1.0,256,20,0.011519233890998489,0.00014318275733116254,0.6616498766970903,0.0167474865754125,0.6825000000000001,0.6825000000000001
zz_full_r1_robust,1.0,1024,20,0.005773808011051323,5.4942443940362394e-05,0.667526372750057,0.012330557441295223,0.690625,0.690625
zz_full_r1_robust,1.0,4096,20,0.0028716554841998103,4.3634433171071315e-05,0.6711176236044658,0.005639246469480516,0.6918749999999999,0.6918749999999999
pauli_z_zz_ring_r1_minmax,0.1,256,20,0.011634197660875298,0.00016038570644872916,0.6041178469307424,0.011910260127846099,0.5987500000000001,0.5987500000000001
pauli_z_zz_ring_r1_minmax,0.1,1024,20,0.005834782598859596,0.00010672481299938173,0.5971423210432499,0.010547672422833594,0.5931249999999999,0.5931249999999999
pauli_z_zz_ring_r1_minmax,0.1,4096,20,0.002894683380324599,4.609425925804968e-05,0.5934046345811049,0.005041487234483011,0.5906250000000001,0.5906250000000001
zz_ring_r2_robust,0.1,256,20,0.006062837373823956,7.69397843829865e-05,0.592654442478746,0.02032225742974625,0.540625,0.540625
zz_ring_r2_robust,0.1,1024,20,0.0030137499706248496,5.161824867463243e-05,0.5958306673546611,0.012850363807856846,0.543125,0.543125
zz_ring_r2_robust,0.1,4096,20,0.0015055819846176753,2.2701824859535376e-05,0.5961222910216717,0.006820120662003696,0.5431250000000001,0.5431250000000001
