fold,feature,permutation_mean,permutation_std,impurity_importance,selected_top5
0,ph,0.06482548135267799,0.008928076387919617,0.12765444809926837,1
0,Hardness,0.037789128584107635,0.01068836266868222,0.11076290041610053,1
0,Solids,0.050431089134017976,0.016098439398374347,0.11657825820574336,1
0,Chloramines,0.029093988299009183,0.010633602223635978,0.11857737800999342,1
0,Sulfate,0.09160281838106102,0.011457282777672611,0.1215715307657383,1
0,Conductivity,0.019056675542031172,0.011818855537369373,0.10604535829220456,0
0,Organic_carbon,0.00015396040500639991,0.009762795540651297,0.09926008138366696,0
0,Trihalomethanes,0.007666322519878969,0.009573196966188736,0.09978856086308173,0
0,Turbidity,0.01897426144288066,0.012238382531896507,0.09976148396420272,0
1,ph,0.05121357025122719,0.01581465073631728,0.12903742895792003,1
1,Hardness,0.03266858664348206,0.009967409471907022,0.11874232115313395,1
1,Solids,0.0372901157419986,0.014408936971352688,0.1180017490270431,1
1,Chloramines,0.031831766559800065,0.016536622292251155,0.11634123722254992,1
1,Sulfate,0.07443532757340293,0.0179627038472784,0.13333301008391008,1
1,Conductivity,0.008917024398195972,0.006186244929332687,0.09946066150877218,0
1,Organic_carbon,0.0045409262982485,0.010246014591388485,0.09405635576646441,0
1,Trihalomethanes,0.006459997464181577,0.011410651273190024,0.09740246140379712,0
1,Turbidity,0.017810501910920335,0.007828336226487232,0.09362477487640916,0
2,ph,0.041936274509803896,0.012782956940335254,0.12551362393138477,1
2,Hardness,0.021944444444444412,0.013609406073979655,0.11278018204230021,1
2,Solids,0.0262391067538126,0.014869779812395045,0.11631968074615565,1
2,Chloramines,0.022165032679738534,0.01152607437592331,0.11297966264631333,1
2,Sulfate,0.05279684095860566,0.021889793903017644,0.12292419943338082,1
2,Conductivity,0.0075517429193899584,0.013032423270381626,0.10873683150045893,0
2,Organic_carbon,-0.006911764705882387,0.010073833101702569,0.10336953561839109,0
2,Trihalomethanes,0.018875272331154647,0.006320180094763361,0.09981471337946837,0
2,Turbidity,0.004183006535947705,0.009645884923647144,0.0975615707021469,0
3,ph,0.044074074074074,0.019509662889709945,0.12848199353231946,1
3,Hardness,0.021168300653594697,0.011298295928128997,0.11245707221454697,1
3,Solids,0.03356481481481477,0.014649679781458381,0.11742701341902469,1
3,Chloramines,0.02458605664488011,0.011124027985772871,0.11746382094336708,1
3,Sulfate,0.03874455337690626,0.015415123571990116,0.13049127760644405,1
3,Conductivity,0.00043300653594763685,0.009542898676324506,0.10255857268844831,0
3,Organic_carbon,-0.006290849673202688,0.007137315876945108,0.09549772103698041,0
3,Trihalomethanes,0.006236383442265728,0.0096803057641332,0.10127744220718796,0
3,Turbidity,-0.00914488017429201,0.008707988711822275,0.09434508635168112,0
4,ph,0.02102668845315904,0.012152609266939824,0.12549890873007893,1
4,Hardness,0.0007026143790849574,0.013113124320051428,0.12040488790107709,1
4,Solids,0.01253812636165576,0.011405898511879543,0.12181174740968342,1
4,Chloramines,0.029686819172113275,0.011250274569212773,0.1109922959466261,1
4,Sulfate,0.012919389978213498,0.012267680943169023,0.12790816952545103,1
4,Conductivity,-0.006465141612200442,0.011208825456693704,0.10244782775932769,0
4,Organic_carbon,-0.006190087145969492,0.007217307909829412,0.09481601081697702,0
4,Trihalomethanes,-0.005787037037037046,0.00902088882686828,0.0999549212713142,0
4,Turbidity,-0.012799564270152513,0.011354177913772854,0.09616523063946464,0
