Seed,Custom_Domain,Pauli_Z_YY,SVM_RBF_Fixed,Separable_Control,ZZ_Linear
4524,0.63125,0.475,0.621875,0.596875,0.50625
4525,0.503125,0.50625,0.6,0.46875,0.53125
4526,0.490625,0.53125,0.55625,0.465625,0.559375
4527,0.65,0.565625,0.640625,0.60625,0.615625
4528,0.621875,0.51875,0.53125,0.49375,0.5875
4529,0.571875,0.48125,0.56875,0.515625,0.515625
4530,0.55625,0.496875,0.565625,0.45625,0.53125
4531,0.53125,0.60625,0.54375,0.446875,0.590625
4532,0.596875,0.5875,0.565625,0.678125,0.625
4533,0.571875,0.60625,0.615625,0.56875,0.609375
4534,0.521875,0.515625,0.49375,0.50625,0.515625
4535,0.440625,0.6125,0.646875,0.54375,0.590625
4536,0.540625,0.5,0.434375,0.503125,0.51875
4537,0.603125,0.5625,0.60625,0.553125,0.621875
4538,0.60625,0.509375,0.546875,0.396875,0.540625
4539,0.5375,0.546875,0.565625,0.46875,0.56875
4540,0.546875,0.571875,0.578125,0.5625,0.559375
4541,0.61875,0.5375,0.58125,0.584375,0.534375
4542,0.565625,0.5625,0.509375,0.509375,0.55625
4543,0.440625,0.54375,0.49375,0.478125,0.534375
