N,Model,Seeds,BA_Median,BA_Q1,BA_Q3,MCC_Median,F1_Median,AUC_Median,Specificity_Median,Unsafe_Acceptance_Median
16,Custom_Domain,20,0.51875,0.4375,0.609375,0.03943375672974064,0.45,,0.5625,0.4375
16,Pauli_Z_YY,20,0.51875,0.46875,0.6437499999999999,0.047168783648703236,0.5083333333333333,,0.525,0.475
16,SVM_RBF_Fixed,20,0.55625,0.471875,0.6125,0.12216878364870322,0.48916666666666664,,0.575,0.42500000000000004
16,Separable_Control,20,0.48124999999999996,0.409375,0.6125,-0.035566243270259354,0.44333333333333336,,0.5375000000000001,0.4625
16,ZZ_Linear,20,0.5375,0.471875,0.60625,0.09047005383792517,0.47333333333333333,,0.55,0.45
32,Custom_Domain,20,0.5218750000000001,0.49375,0.59375,0.04823243019051837,0.5066125541125541,0.53125,0.55625,0.44375
32,Pauli_Z_YY,20,0.55,0.5031249999999999,0.5953125,0.11247917794637766,0.519265873015873,0.5625,0.53125,0.46875
32,SVM_RBF_Fixed,20,0.5718749999999999,0.4875,0.6140625000000001,0.17241747825703085,0.5645977633477633,0.615625,0.54375,0.45625000000000004
32,Separable_Control,20,0.459375,0.4484375,0.4875,-0.08538496650699642,0.4432395382395382,0.484375,0.45625000000000004,0.54375
32,ZZ_Linear,20,0.5406249999999999,0.50625,0.5765625,0.08567894528730484,0.5303228715728715,0.565625,0.53125,0.46875
64,Custom_Domain,20,0.5609375000000001,0.52890625,0.60390625,0.12655143603468638,0.5497143886385372,0.583984375,0.596875,0.403125
64,Pauli_Z_YY,20,0.5406249999999999,0.50859375,0.5671875000000001,0.08458069315905184,0.5114872550050569,0.5703125,0.5625,0.4375
64,SVM_RBF_Fixed,20,0.565625,0.5406249999999999,0.6015625,0.14583820673079612,0.5441093022904169,0.5890625,0.609375,0.390625
64,Separable_Control,20,0.5078125,0.46875,0.5640625,0.01657615684028984,0.49366611158019824,0.530078125,0.521875,0.478125
64,ZZ_Linear,20,0.5578125,0.53125,0.590625,0.11854362516674549,0.5434930132646851,0.572265625,0.565625,0.434375
