N,Feature_Map,CV_BA_Mean,CV_BA_SD,CV_MCC_Mean,CV_MCC_SD,CV_F1_Mean,CV_ROC_AUC_Mean,CV_Specificity_Mean,CV_Unsafe_Acceptance_Mean,Delta_BA_vs_RBF_Mean,Delta_BA_vs_RBF_SD,Delta_MCC_vs_RBF_Mean,Win_Rate_vs_RBF,Tie_Rate_vs_RBF,Mean_Time_Seconds
16,Custom_Domain,0.5125,0.22176030208075423,0.02113248654051871,0.495120135709717,0.4066666666666666,,0.575,0.425,-0.0375,0.2470217335420211,-0.09433756729740646,0.35,0.2,0.017393863201141356
16,Pauli_Z_YY,0.5125,0.20639448687047413,0.02886751345948129,0.4766476502156917,0.38166666666666665,,0.625,0.375,-0.0375,0.21877349497885512,-0.08660254037844388,0.3,0.25,0.02351987361907959
16,Separable_Control,0.6,0.18848425873126298,0.21547005383792514,0.4020639591684278,0.485,,0.65,0.35,0.05,0.1919429739874786,0.1,0.3,0.55,0.01489849090576172
16,ZZ_Linear,0.35,0.22064498753952194,-0.32320508075688775,0.47262441128971294,0.16166666666666668,,0.55,0.45,-0.2,0.23786329554687718,-0.4386751345948129,0.1,0.25,0.018538355827331543
32,Custom_Domain,0.64375,0.14776292355982729,0.30279204076466637,0.30776554082995217,0.6359523809523809,0.68125,0.6375,0.3625,0.2,0.1538967528127731,0.4243638709521302,0.8,0.2,0.027081847190856934
32,Pauli_Z_YY,0.55625,0.15429700512153072,0.11640343999907661,0.349037704858275,0.5808946608946608,0.603125,0.475,0.525,0.1125,0.13990128098431634,0.23797527018654044,0.7,0.15,0.04276000261306763
32,Separable_Control,0.475,0.0959714869937393,-0.060675681597300704,0.23188101854775653,0.4822438672438672,0.49375,0.4,0.6,0.03125,0.12081820836978262,0.0608961485901631,0.4,0.35,0.023422956466674805
32,ZZ_Linear,0.55625,0.1373803306996962,0.12909291749357227,0.2925589623508005,0.579577922077922,0.56875,0.475,0.525,0.1125,0.16171368460793192,0.2506647476810361,0.45,0.45,0.029978239536285402
64,Custom_Domain,0.63125,0.1373803306996962,0.2706387478928505,0.2792372667484741,0.6057586647099031,0.67421875,0.65625,0.34375,0.009375,0.14088973618811945,0.020719597649276444,0.4,0.3,0.04639281034469604
64,Pauli_Z_YY,0.475,0.13358665628288668,-0.05084015983343334,0.28715365237225915,0.42774500525274517,0.4953125,0.53125,0.46875,-0.146875,0.13942285878804658,-0.30075931007700735,0.05,0.15,0.07425683736801147
64,Separable_Control,0.596875,0.11906122650928277,0.19824537197525002,0.2504016709683805,0.5765696287716412,0.61328125,0.59375,0.40625,-0.025,0.11893164777343859,-0.051673778268324,0.3,0.2,0.03832111358642578
64,ZZ_Linear,0.50625,0.1373803306996962,0.012181829550091549,0.29800837929009544,0.4808831326052688,0.51640625,0.53125,0.46875,-0.115625,0.12545148726856425,-0.23773732069348247,0.15,0.05,0.05539989471435547
